Step,Voc (V),ESR (Î©)
0,2.4995,0.0623
1,2.8698,0.051
2,3.0649,0.0499
3,3.1787,0.0491
4,3.2614,0.0487
5,3.326,0.0485
6,3.3778,0.0485
7,3.4198,0.0482
8,3.4437,0.0483
9,3.4547,0.0481
10,3.4623,0.0482
11,3.4684,0.0481
12,3.4737,0.048
13,3.4784,0.0477
14,3.4831,0.0477
15,3.4879,0.0475
16,3.4938,0.0475
17,3.5021,0.0474
18,3.512,0.0473
19,3.5217,0.0472
20,3.5317,0.0472
21,3.542,0.0471
22,3.551,0.0469
23,3.5587,0.047
24,3.5659,0.047
25,3.5732,0.047
26,3.5802,0.0471
27,3.5866,0.0472
28,3.5924,0.0471
29,3.5976,0.0471
30,3.6022,0.0472
31,3.6065,0.0471
32,3.6106,0.0471
33,3.6146,0.0469
34,3.6186,0.0469
35,3.6227,0.0468
36,3.6269,0.0468
37,3.6311,0.0469
38,3.6356,0.0466
39,3.6402,0.0467
40,3.645,0.0467
41,3.6501,0.0463
42,3.6555,0.0467
43,3.6611,0.0465
44,3.667,0.0464
45,3.6732,0.0463
46,3.6798,0.0463
47,3.6866,0.0464
48,3.6939,0.0462
49,3.7015,0.0459
50,3.7093,0.0459
51,3.7175,0.0459
52,3.7258,0.0457
53,3.7344,0.0457
54,3.7429,0.0457
55,3.7514,0.0457
56,3.7599,0.0455
57,3.7682,0.0455
58,3.7763,0.0454
59,3.7842,0.0454
60,3.792,0.0454
61,3.7998,0.0453
62,3.8077,0.0452
63,3.8157,0.0454
64,3.8239,0.0452
65,3.8322,0.0453
66,3.8406,0.0453
67,3.8488,0.0454
68,3.8566,0.0452
69,3.8642,0.0453
70,3.8716,0.0452
71,3.8786,0.0453
72,3.8854,0.0451
73,3.8917,0.045
74,3.8976,0.0451
75,3.9036,0.045
76,3.9103,0.0448
77,3.9179,0.0451
78,3.9261,0.0452
79,3.9349,0.0452
80,3.9442,0.0451
81,3.9538,0.0452
82,3.9635,0.0452
83,3.9735,0.0452
84,3.9834,0.0454
85,3.993,0.0457
86,4.0021,0.0455
87,4.0104,0.0456
88,4.0176,0.0457
89,4.024,0.0456
90,4.0295,0.0459
91,4.0344,0.0459
92,4.0389,0.046
93,4.0435,0.0461
94,4.0486,0.0462
95,4.0543,0.0462
96,4.0608,0.0462
97,4.0683,0.0462
98,4.0768,0.0459
99,4.0864,0.0451
100,4.1001,0.0407
