SOC (%),VOLT (V),ESR (Î©)
0.0,3.5,0.1555
0.28328611898017,3.507,0.1555
0.56657223796034,3.514,0.1555
0.8498583569405099,3.521,0.1555
1.13314447592068,3.528,0.1555
1.4164305949008498,3.535,0.1555
1.6997167138810199,3.542,0.1555
1.9830028328611897,3.549,0.1555
2.26628895184136,3.556,0.1555
2.54957507082153,3.563,0.1555
2.8328611898016995,3.57,0.1555
3.1161473087818696,3.577,0.1555
3.3994334277620397,3.584,0.1555
3.68271954674221,3.591,0.1555
3.9660056657223794,3.598,0.1555
4.2492917847025495,3.605,0.1555
4.53257790368272,3.612,0.1555
4.81586402266289,3.619,0.1555
5.09915014164306,3.626,0.1555
5.38243626062323,3.633,0.1555
5.665722379603399,3.64,0.1555
5.949008498583569,3.647,0.1555
6.232294617563739,3.654,0.1555
6.515580736543909,3.661,0.1555
6.798866855524079,3.668,0.1555
7.0821529745042495,3.675,0.1555
7.36543909348442,3.682,0.1555
7.648725212464589,3.689,0.1555
7.932011331444759,3.696,0.1555
8.215297450424929,3.703,0.1555
8.498583569405099,3.71,0.1555
8.78186968838527,3.717,0.1555
9.06515580736544,3.724,0.1555
9.34844192634561,3.731,0.1555
9.63172804532578,3.738,0.1555
9.91501416430595,3.745,0.1555
10.19830028328612,3.752,0.1555
10.48158640226629,3.759,0.1555
10.76487252124646,3.766,0.1555
11.048158640226628,3.773,0.1555
11.331444759206798,3.78,0.1555
11.614730878186968,3.787,0.1555
11.898016997167138,3.794,0.1555
12.181303116147308,3.801,0.1555
12.464589235127479,3.808,0.1555
12.747875354107649,3.815,0.1555
13.031161473087819,3.822,0.1555
13.314447592067989,3.829,0.1555
13.597733711048159,3.836,0.1555
13.881019830028329,3.843,0.1555
14.164305949008499,3.85,0.1555
14.44759206798867,3.857,0.1555
14.73087818696884,3.864,0.1555
15.01416430594901,3.871,0.1555
15.297450424929178,3.878,0.1555
15.580736543909348,3.885,0.1555
15.864022662889518,3.892,0.1555
16.14730878186969,3.899,0.1555
16.430594900849858,3.906,0.1555
16.71388101983003,3.913,0.1555
16.997167138810198,3.92,0.1555
17.28045325779037,3.927,0.1555
17.56373937677054,3.934,0.1555
17.847025495750707,3.941,0.1555
18.13031161473088,3.948,0.1555
18.413597733711047,3.955,0.1555
18.69688385269122,3.962,0.1555
18.980169971671387,3.969,0.1555
19.26345609065156,3.976,0.1555
19.546742209631727,3.983,0.1555
19.8300283286119,3.99,0.1555
20.113314447592067,3.997,0.1555
20.39660056657224,4.004,0.1555
20.679886685552407,4.011,0.1555
20.96317280453258,4.018,0.1555
21.246458923512748,4.025,0.1555
21.52974504249292,4.032,0.1555
21.813031161473088,4.039,0.1555
22.096317280453256,4.046,0.1555
22.379603399433428,4.053,0.1555
22.662889518413596,4.06,0.1555
22.946175637393768,4.067,0.1555
23.229461756373937,4.074,0.1555
23.51274787535411,4.081,0.1555
23.796033994334277,4.088,0.1555
24.07932011331445,4.095,0.1555
24.362606232294617,4.102,0.1555
24.64589235127479,4.109,0.1555
24.929178470254957,4.116,0.1555
25.21246458923513,4.123,0.1555
25.495750708215297,4.13,0.1555
25.77903682719547,4.137,0.1555
26.062322946175637,4.144,0.1555
26.345609065155806,4.151,0.1555
26.628895184135978,4.158,0.1555
26.912181303116146,4.165,0.1555
27.195467422096318,4.172,0.1555
27.478753541076486,4.179,0.1555
27.762039660056658,4.186,0.1555
28.045325779036826,4.193,0.1555
28.328611898016998,4.2,0.1555
